date,open,close,high,low,volume,amount
2021-09-27,1555.08,1660.08,1668.48,1555.08,126869,23270689792.0
2021-09-28,1653.08,1627.14,1665.08,1600.08,49221,8973408768.0
2021-09-29,1614.08,1625.08,1650.09,1590.98,43291,7870151680.0
2021-09-30,1623.26,1635.08,1655.3,1608.48,40539,7411735808.0
2021-10-08,1627.5,1644.68,1683.08,1612.31,47452,8780381184.0
2021-10-11,1644.59,1672.2,1694.98,1636.09,37676,7040475392.0
2021-10-12,1671.08,1676.07,1682.08,1647.5,30606,5688160768.0
2021-10-13,1675.08,1734.98,1755.03,1667.08,50143,9625769216.0
2021-10-14,1734.01,1716.08,1746.88,1701.08,26623,5097602304.0
2021-10-15,1695.18,1722.05,1735.07,1695.18,28561,5452953856.0
2021-10-18,1693.08,1605.08,1693.08,1592.08,69652,12651498496.0
2021-10-19,1605.08,1617.26,1643.88,1604.96,40315,7330114048.0
2021-10-20,1638.08,1646.08,1654.88,1611.09,28663,5246404608.0
2021-10-21,1646.18,1649.08,1665.08,1634.08,23019,4238584288.0
2021-10-22,1660.08,1706.08,1726.09,1659.08,35963,6794850048.0
2021-10-25,1685.08,1678.11,1690.09,1663.08,32461,6076219904.0
2021-10-26,1669.11,1666.13,1684.07,1649.08,21130,3934223712.0
2021-10-27,1657.38,1624.08,1663.38,1605.18,34647,6302270976.0
2021-10-28,1630.28,1630.57,1648.86,1607.08,29491,5383196160.0
2021-10-29,1630.08,1631.16,1653.08,1618.08,28776,5266898944.0
2021-11-01,1585.08,1608.08,1631.38,1565.08,41690,7486936320.0
2021-11-02,1601.78,1609.72,1649.3,1593.08,32500,5875341312.0
2021-11-03,1605.08,1570.08,1615.06,1566.27,27829,4958314496.0
2021-11-04,1583.02,1609.28,1621.08,1574.5,31130,5592211712.0
2021-11-05,1609.29,1625.02,1650.07,1609.29,27077,4956331264.0
2021-11-08,1625.08,1625.18,1635.88,1607.13,17706,3220439328.0
2021-11-09,1625.06,1595.09,1632.95,1587.08,27352,4915170048.0
2021-11-10,1595.09,1559.07,1600.08,1540.08,35349,6204803328.0
2021-11-11,1558.01,1574.68,1574.68,1546.58,22652,3987243280.0
2021-11-12,1583.08,1578.86,1590.13,1571.74,17607,3124400976.0
2021-11-15,1578.76,1566.22,1589.08,1555.08,24947,4410975488.0
2021-11-16,1573.08,1613.08,1623.08,1570.08,33526,6033536256.0
2021-11-17,1610.08,1600.08,1625.58,1595.09,24505,4411450880.0
2021-11-18,1586.3,1597.08,1612.08,1575.08,19521,3485674960.0
